MONTH,REVENUE,PREV_MONTH_REVENUE,GROWTH_PCT
2016-09-01 00:00:00.000,252,,
2016-10-01 00:00:00.000,59088,252,23347.62
2016-12-01 00:00:00.000,20,59088,-99.97
2017-01-01 00:00:00.000,138525,20,692525.00
2017-02-01 00:00:00.000,291947,138525,110.75
2017-03-01 00:00:00.000,449970,291947,54.13
2017-04-01 00:00:00.000,417855,449970,-7.14
2017-05-01 00:00:00.000,592992,417855,41.91
2017-06-01 00:00:00.000,511371,592992,-13.76
2017-07-01 00:00:00.000,592461,511371,15.86
2017-08-01 00:00:00.000,674532,592461,13.85
2017-09-01 00:00:00.000,727903,674532,7.91
2017-10-01 00:00:00.000,779798,727903,7.13
2017-11-01 00:00:00.000,1195065,779798,53.25
2017-12-01 00:00:00.000,878476,1195065,-26.49
2018-01-01 00:00:00.000,1115207,878476,26.95
2018-02-01 00:00:00.000,992638,1115207,-10.99
2018-03-01 00:00:00.000,1159582,992638,16.82
2018-04-01 00:00:00.000,1160665,1159582,0.09
2018-05-01 00:00:00.000,1153906,1160665,-0.58
2018-06-01 00:00:00.000,1023777,1153906,-11.28
2018-07-01 00:00:00.000,1066475,1023777,4.17
2018-08-01 00:00:00.000,1022309,1066475,-4.14
2018-09-01 00:00:00.000,4441,1022309,-99.57
2018-10-01 00:00:00.000,590,4441,-86.71
